date	value
1962.0417	0.08
1962.125	0.14
1962.2083	0.12
1962.2917	0.05
1962.375	-0.06
1962.4583	0.06
1962.5417	-0.02
1962.625	-0.02
1962.7083	0
1962.7917	-0.02
1962.875	0.07
1962.9583	-0.01
1963.0417	-0.03
1963.125	0.2
1963.2083	-0.13
1963.2917	-0.05
1963.375	-0.09
1963.4583	0.03
1963.5417	0.08
1963.625	0.25
1963.7083	0.2
1963.7917	0.16
1963.875	0.16
1963.9583	0
1964.0417	-0.06
1964.125	-0.12
1964.2083	-0.22
1964.2917	-0.3
1964.375	-0.25
1964.4583	-0.07
1964.5417	-0.07
1964.625	-0.21
1964.7083	-0.28
1964.7917	-0.3
1964.875	-0.21
1964.9583	-0.3
1965.0417	-0.09
1965.125	-0.17
1965.2083	-0.11
1965.2917	-0.19
1965.375	-0.14
1965.4583	-0.08
1965.5417	-0.12
1965.625	-0.01
1965.7083	-0.15
1965.7917	-0.04
1965.875	-0.06
1965.9583	-0.05
1966.0417	-0.16
1966.125	0
1966.2083	0.04
1966.2917	-0.13
1966.375	-0.1
1966.4583	0.01
1966.5417	0.08
1966.625	-0.11
1966.7083	-0.01
1966.7917	-0.15
1966.875	-0.02
1966.9583	-0.06
1967.0417	-0.06
1967.125	-0.2
1967.2083	0.04
1967.2917	-0.04
1967.375	0.14
1967.4583	-0.08
1967.5417	0.01
1967.625	0.02
1967.7083	-0.04
1967.7917	0.07
1967.875	-0.06
1967.9583	-0.02
1968.0417	-0.23
1968.125	-0.15
1968.2083	0.21
1968.2917	-0.05
1968.375	-0.1
1968.4583	-0.06
1968.5417	-0.11
1968.625	-0.11
1968.7083	-0.18
1968.7917	0.12
1968.875	-0.04
1968.9583	-0.14
1969.0417	-0.11
1969.125	-0.14
1969.2083	0
1969.2917	0.19
1969.375	0.2
1969.4583	0.05
1969.5417	-0.02
1969.625	0.03
1969.7083	0.1
1969.7917	0.11
1969.875	0.12
1969.9583	0.27
1970.0417	0.1
1970.125	0.22
1970.2083	0.07
1970.2917	0.09
1970.375	-0.05
1970.4583	-0.03
1970.5417	-0.04
1970.625	-0.11
1970.7083	0.11
1970.7917	0.04
1970.875	0.01
1970.9583	-0.13
1971.0417	-0.02
1971.125	-0.2
1971.2083	-0.18
1971.2917	-0.09
1971.375	-0.07
1971.4583	-0.18
1971.5417	-0.12
1971.625	-0.04
1971.7083	-0.01
1971.7917	-0.06
1971.875	-0.04
1971.9583	-0.08
1972.0417	-0.24
1972.125	-0.17
1972.2083	0.02
1972.2917	-0.01
1972.375	-0.02
1972.4583	0.04
1972.5417	0.03
1972.625	0.18
1972.7083	0.03
1972.7917	0.09
1972.875	0.03
1972.9583	0.18
1973.0417	0.27
1973.125	0.3
1973.2083	0.25
1973.2917	0.25
1973.375	0.25
1973.4583	0.16
1973.5417	0.09
1973.625	0.02
1973.7083	0.06
1973.7917	0.11
1973.875	0.06
1973.9583	-0.06
1974.0417	-0.15
1974.125	-0.28
1974.2083	-0.05
1974.2917	-0.1
1974.375	-0.01
1974.4583	-0.05
1974.5417	-0.03
1974.625	0.11
1974.7083	-0.13
1974.7917	-0.08
1974.875	-0.07
1974.9583	-0.09
1975.0417	0.07
1975.125	0.07
1975.2083	0.13
1975.2917	0.05
1975.375	0.16
1975.4583	-0.02
1975.5417	-0.03
1975.625	-0.2
1975.7083	-0.03
1975.7917	-0.09
1975.875	-0.16
1975.9583	-0.17
1976.0417	-0.01
1976.125	-0.06
1976.2083	-0.21
1976.2917	-0.1
1976.375	-0.23
1976.4583	-0.15
1976.5417	-0.12
1976.625	-0.18
1976.7083	-0.09
1976.7917	-0.26
1976.875	-0.06
1976.9583	0.09
1977.0417	0.18
1977.125	0.2
1977.2083	0.25
1977.2917	0.27
1977.375	0.3
1977.4583	0.25
1977.5417	0.23
1977.625	0.19
1977.7083	0.02
1977.7917	0.04
1977.875	0.2
1977.9583	0.04
1978.0417	0.07
1978.125	0.14
1978.2083	0.2
1978.2917	0.15
1978.375	0.06
1978.4583	-0.03
1978.5417	0.07
1978.625	-0.18
1978.7083	0.05
1978.7917	0
1978.875	0.16
1978.9583	0.11
1979.0417	0.14
1979.125	-0.09
1979.2083	0.19
1979.2917	0.12
1979.375	0.05
1979.4583	0.13
1979.5417	0.02
1979.625	0.14
1979.7083	0.27
1979.7917	0.25
1979.875	0.29
1979.9583	0.47
1980.0417	0.3
1980.125	0.42
1980.2083	0.28
1980.2917	0.31
1980.375	0.34
1980.4583	0.16
